objectid,globalid,Acceleration,acquisitionTime,activityX,activityY,activityZ,alive,altitude,AvgAcceleration,AvgDistance,AvgHeight,AvgSlope,AvgSpeed,AvgTimeSpan,backupVoltage,dataEventType,Distance,DistanceTolerance,DistanceUnits,dop,expelled,extendedMessageType,fixType,Heading,Height,HeightChange,HistoryDepth,idData,idDevice,Idling,idSensor,latitude,longitude,mainVoltage,MaxAcceleration,MaxDistance,MaxHeight,MaxSlope,MaxSpeed,MaxTimeSpan,MinAcceleration,MinDistance,MinHeight,MinSlope,MinSpeed,MinTimeSpan,mortalityStatus,originCode,PercentageIdleTime,positionIsValid,positionMortalityStatus,received,scts,Slope,Speed,temperature,TimeSpan,TimeSpanTolerance,TimeUnits,TotalAcceleration,TotalDistance,TotalHeightChange,TotalIdleTime,TotalSlope,TotalSpeed,TotalTimeSpan,vitActivityLevel,trackid,geometry
2000,1ab86abb-6a07-417d-b713-09b913e9f0e9,1.6,2025-09-11 19:31:36,0.31,0.34,0.58,Yes,3207.11,0.0,0.0,3207.11,0.0,0.0,20.0,3.8,Normal,0.0,0.53,meters,1.1,No,None,3D,179.85,3207.11,0.0,2,data_1_0,1.0,Yes,10.0,40.360927,-105.719616,4.07,1.97,36.31,3207.44,1.91,10.94,20.0,1.57,0.0,3202.33,0.0,0.0,20.0,Alive,RMNP,100.0,True,Alive,2025-09-11 19:31:36,2025-09-11 19:31:36,0.0,0.0,14.66,20.0,0.18,minutes,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.39,1,POINT(-105.719616 40.360927)
2001,78f929d1-415d-455a-a352-b616c11590b5,1.32,2025-09-11 19:51:36,0.39,0.38,0.4,Yes,3216.09,0.02,21.01,3216.09,21.37,1.05,20.0,3.94,Normal,42.02,2.36,meters,2.05,No,None,3D,173.21,3216.09,8.98,6,data_1_1,1.0,Yes,10.0,40.360551,-105.719558,3.73,1.58,60.97,3217.4,14.35,13.56,20.0,1.17,0.0,3211.82,8.46,0.0,20.0,Alive,RMNP,98.25,True,Alive,2025-09-11 19:51:36,2025-09-11 19:51:36,12.06,2.1,-5.18,20.0,2.98,minutes,0.7,42.02,8.98,39.3,21.37,1.05,40.0,0.29,1,POINT(-105.719558 40.360551)
2002,34fa77ae-da33-4c1e-8781-f1f4d47b98d2,1.03,2025-09-11 20:11:36,0.33,0.38,0.4,Yes,3217.48,0.03,26.84,3217.48,12.88,1.34,20.0,3.75,Normal,38.51,1.93,meters,1.57,No,None,3D,177.01,3217.48,1.39,3,data_1_2,1.0,Yes,10.0,40.360206,-105.719534,3.9,1.31,97.15,3217.74,4.68,13.36,20.0,0.38,0.0,3215.23,0.0,0.0,20.0,Alive,RMNP,97.76,True,Alive,2025-09-11 20:11:36,2025-09-11 20:11:36,2.07,1.93,15.21,20.0,2.32,minutes,1.34,80.53,10.37,58.66,12.88,1.34,60.0,0.35,1,POINT(-105.719534 40.360206)
2003,be06de89-ca2d-4613-bead-0c85d137246d,1.54,2025-09-11 20:31:36,0.57,0.21,0.52,Yes,3223.96,0.04,41.93,3223.96,10.05,2.1,20.0,4.0,Normal,87.19,2.54,meters,1.66,No,None,3D,168.45,3223.96,6.48,7,data_1_3,1.0,Yes,10.0,40.359437,-105.719328,3.64,1.99,135.86,3227.35,5.4,11.5,20.0,0.92,76.34,3214.25,1.85,0.0,20.0,Alive,RMNP,96.51,True,Alive,2025-09-11 20:31:36,2025-09-11 20:31:36,4.25,4.36,-7.0,20.0,2.21,minutes,2.8,167.73,16.85,77.2,10.05,2.1,80.0,0.29,1,POINT(-105.719328 40.359437)
2004,2a335715-530a-4229-8d12-5b03be662a1a,2.13,2025-09-11 20:51:36,0.45,0.02,0.54,Yes,3223.23,0.05,46.93,3223.23,6.87,2.35,20.0,3.85,Normal,66.9,0.29,meters,1.14,No,None,3D,225.33,3223.23,-0.73,1,data_1_4,1.0,Yes,10.0,40.359014,-105.719889,3.88,2.26,81.28,3235.06,1.61,19.61,20.0,1.78,37.8,3216.13,0.0,0.0,20.0,Alive,RMNP,96.09,True,Alive,2025-09-11 20:51:36,2025-09-11 20:51:36,-0.62,3.35,-6.18,20.0,0.02,minutes,3.91,234.63,16.12,96.09,6.87,2.35,100.0,0.31,1,POINT(-105.719889 40.359014)
2005,57827b08-47e7-4772-ba44-256215ff7073,1.51,2025-09-11 21:11:36,0.41,0.24,0.56,Yes,3221.95,0.05,46.7,3221.95,5.3,2.33,20.0,3.98,Normal,45.56,0.6,meters,1.49,No,None,3D,255.7,3221.95,-1.28,1,data_1_5,1.0,Yes,10.0,40.358913,-105.720411,3.56,2.22,62.04,3228.19,4.54,4.69,20.0,1.37,13.48,3217.19,0.0,0.0,20.0,Alive,RMNP,96.11,True,Alive,2025-09-11 21:11:36,2025-09-11 21:11:36,-1.61,2.28,9.27,20.0,0.45,minutes,4.67,280.19,14.84,115.33,5.3,2.33,120.0,0.44,1,POINT(-105.720411 40.358913)
2006,a7198a84-8a77-403f-8488-957e58f5f3f7,0.0,2025-09-11 21:31:36,0.31,0.54,0.5,Yes,3226.09,0.05,46.63,3226.09,5.82,2.33,20.0,3.8,Normal,46.25,1.3,meters,1.04,No,None,3D,166.61,3226.09,4.14,10,data_1_6,1.0,Yes,10.0,40.358508,-105.720284,3.55,0.03,55.9,3230.75,6.54,12.11,20.0,0.0,7.62,3225.66,1.66,0.0,20.0,Alive,RMNP,96.11,True,Alive,2025-09-11 21:31:36,2025-09-11 21:31:36,5.12,2.31,8.48,20.0,1.96,minutes,5.44,326.44,18.98,134.56,5.82,2.33,140.0,0.32,1,POINT(-105.720284 40.358508)
2007,a424c486-cf05-4036-8b47-54c8e3915062,1.94,2025-09-11 21:51:36,0.42,0.4,0.5,Yes,3229.35,0.05,50.16,3229.35,5.54,2.51,20.0,3.85,Normal,74.82,0.34,meters,1.91,No,None,3D,129.84,3229.35,3.26,6,data_1_7,1.0,Yes,10.0,40.358077,-105.719606,3.75,2.61,81.71,3239.61,4.15,8.58,20.0,1.7,11.63,3223.98,0.0,2.31,20.0,Alive,RMNP,95.82,True,Alive,2025-09-11 21:51:36,2025-09-11 21:51:36,2.49,3.74,12.82,20.0,0.72,minutes,6.69,401.26,22.24,153.31,5.54,2.51,160.0,0.43,1,POINT(-105.719606 40.358077)
2008,6caffb86-73f7-4b6a-872c-eb9dbd7b0e36,1.71,2025-09-11 22:11:36,0.53,0.18,0.51,Yes,3238.73,0.05,48.99,3238.73,7.17,2.45,20.0,3.91,Normal,39.66,2.15,meters,1.74,No,None,3D,178.4,3238.73,9.38,4,data_1_8,1.0,Yes,10.0,40.357721,-105.719593,3.68,2.1,69.71,3244.92,16.01,19.05,20.0,1.69,20.33,3233.94,10.87,0.0,20.0,Alive,RMNP,95.92,True,Alive,2025-09-11 22:11:36,2025-09-11 22:11:36,13.3,1.98,20.15,20.0,2.27,minutes,7.35,440.92,31.62,172.65,7.17,2.45,180.0,0.31,1,POINT(-105.719593 40.357721)
2009,a350f06a-1ebc-4a50-b525-c5a599e488e2,1.14,2025-09-11 22:31:36,0.48,0.19,0.53,Yes,3235.07,0.05,49.04,3235.07,5.7,2.45,20.0,3.84,Normal,49.52,2.45,meters,1.39,No,None,3D,240.67,3235.07,-3.66,5,data_1_9,1.0,Yes,10.0,40.357503,-105.720103,3.58,1.49,75.83,3235.77,7.51,16.4,20.0,0.84,14.47,3229.88,2.12,0.0,20.0,Alive,RMNP,95.91,True,Alive,2025-09-11 22:31:36,2025-09-11 22:31:36,-4.23,2.48,12.26,20.0,0.27,minutes,8.17,490.44,27.96,191.83,5.7,2.45,200.0,0.42,1,POINT(-105.720103 40.357503)
